Food Group,Macronutrient Focus,Processing Level,Culinary Usage,Health Impact,id,diets,allergens
Proteins,Protein-rich,Minimally Processed,Meal Component,Healthy,954,"Pescatarian,Paleo,Mineral-Rich,Halal,Vitamin-Rich,Keto,Low-Carb,High-Protein,Gluten-Free,Dairy-Free,Nut-Free,Egg-Free,Soy-Free",Molluscs
Composite Meal; Grains; Proteins; Condiments,Protein-rich; Carbohydrate-rich,Processed,Meal,Moderate,3426,"Dairy-Free,Nut-Free","Soybeans,Cereals containing gluten,Eggs"
Composite Meal; Grains; Proteins; Condiments,Protein-rich; Carbohydrate-rich,Processed,Meal,Moderate,3575,"Dairy-Free,Gluten-Free,Nut-Free,Egg-Free",Soybeans
Sweets and snacks,Carbohydrate-rich,Processed,Sweetener,Unhealthy,4899,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Beverages; Dairy; Sweets and snacks,Carbohydrate-rich; Alcohol,Highly Processed,Warm/Cold Cocktail; After-Dinner Drink,Unhealthy,5298,"Vegetarian,Mineral-Rich,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Grains,Carbohydrate-rich; Alcohol,Processed,Alcoholic Beverage,Unhealthy,5237,"Vegan,Vegetarian,Dairy-Free,Lactose-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Cereals containing gluten
Beverages; Sweets and snacks; Grains,Carbohydrate-rich; Alcohol,Highly Processed,Alcoholic Beverage,Unhealthy,5236,"Vegan,Vegetarian,Dairy-Free,Lactose-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Cereals containing gluten
Vegetables,Carbohydrate-rich; Vitamin-rich,Unprocessed,Salad Topping; Sandwich Filling,Healthy,4382,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Dairy; Oils and fats,Fat-rich,Processed,Sauce,Unhealthy,426,"Vegetarian,Mineral-Rich,Halal,Kosher,Pescatarian,Nut-Free,Egg-Free,Soy-Free","Milk,Cereals containing gluten"
Dairy; Oils and fats; Vegetables,Fat-rich,Processed,Sauce; Meal Component,Moderate,427,"Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Pescatarian,Nut-Free,Egg-Free,Soy-Free","Milk,Cereals containing gluten"
