id,Title,Desc,Muscle Group,metValue,sports,Minimal Age (months)
856,UN Pull-Up Pronated,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. The pronated grip refers to the palms facing away from the body.","Back, Lats, Biceps",6.0,"Calisthenics, Strength Training",168
2450,Military press,"The military press is a compound movement used to build size and strength in the shoulders. It was once contested as a fourth powerlift, but is rarely competed anymore. However, being able to press a significant weight overhead remains a popular marker of upper-body strength. The military press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.","Shoulders, Triceps",5.0,"Strength Training, Olympic Weightlifting",192
2451,Seated barbell shoulder press,"The seated barbell shoulder press is a classic exercise for building muscle and strength in the shoulders. The triceps also play a significant role in pressing the barbell overhead. Performing the movement seated reduces help from the lower body and decreases the risk of overextending the lumbar spine during the movement. This press variation can be the primary pressing movement on an upper-body or shoulder day, or an effective accessory movement later in a workout.","Shoulders, Triceps",4.5,"Bodybuilding, Strength Training",192
2452,Snatch-Grip Behind-The-Neck Overhead Press,"The snatch-grip behind-the-neck press is an overhead press using a wide snatch grip. It's an advanced exercise for building shoulder strength, stability, and mobility.","Shoulders, Traps, Triceps, Back",6.0,"Olympic Weightlifting, Strength Training",216
2453,Standing Bradford press,"The standing Bradford press is an obscure yet effective shoulder exercise that alternates front presses with behind-the-neck presses. It can be used as a warm-up for other press variations on a shoulder day, or as a muscle-building movement on its own in a shoulder or upper-body focused workout. It is usually performed for relatively high reps, such as 8-15 reps per set or higher, or just to the point of fatigue.","Shoulders, Deltoids",4.5,"Bodybuilding, Mobility",192
2454,Barbell Shoulder Press,"The seated barbell shoulder pressis a classic exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also play a significant roles in pressing the barbell overhead.","Shoulders, Triceps",4.5,"Bodybuilding, Strength Training",192
2455,Barbell rear delt bent-over row,"The barbell rear delt bent-over row is a movement used to target the shoulders as well as the upper-back muscles. It is performed with lighter weights than a traditional barbell bent-over row, and is usually performed for higher reps, such as 8-15 reps per set, as part of a back or upper-body workout.","Shoulders, Deltoids, Back",4.0,Bodybuilding,192
2456,Barbell upright row,"The barbell upright row is a barbell exercise that builds stronger and bigger traps. Many lifters combine this move with either their back or shoulder workout since it involves both body parts.","Shoulders, Traps",4.0,Bodybuilding,192
2457,Bradford/Rocky Presses,"The Bradford press, also known as a Rocky press, is a shoulder exercise where you alternate pressing a barbell in front of and behind your head without locking out the elbows.","Shoulders, Deltoids",4.5,Bodybuilding,192
2458,Lying rear delt fly,"The lying rear delt fly is an upper-body exercise that targets the rear deltoid of the shoulder. By performing the movement lying face down on a bench, it eliminates momentum from the rest of the body. This movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout.","Shoulders, Deltoids, Back",3.0,"Bodybuilding, Rehabilitation",168
2459,Machine Shoulder (Military) Press,"The machine shoulder press is an upper body exercise targeting the deltoids. It provides stability, allowing you to focus on pressing the weight.","Shoulders, Triceps",4.5,"Bodybuilding, Strength Training",168
2460,Standing Barbell Press Behind Neck,"The standing behind-the-head press is a classic shoulder exercise that was used widely during bodybuilding's professed Golden Era. In addition to the deltoids, it also works the trapezius and triceps muscles. It may not be a good choice for some people's shoulders, depending on their injury history. It can be trained in strength-focused rep ranges, but is more commonly trained in moderate to high reps, such as 8-15 reps per set.","Shoulders, Traps, Triceps",5.0,"Bodybuilding, Olympic Weightlifting",216
2461,Barbell front raise,"The barbell front raise is an upper-body isolation exercise that targets the shoulders. It is usually performed for moderate to high reps, such as 8-12 reps or higher, as part of the shoulder-focused part of any workout.","Shoulders, Deltoids",3.5,Bodybuilding,192
2462,Overhead bar front raise,"The overhead bar front raise is an exercise targeting the muscles of the traps (trapezius), especially the upper traps, as well as the front or anterior shoulders. It can also be performed with a weight plate or dumbbell, providing a neutral grip that may be more shoulder-friendly for some lifters. Overhead raises are most common for high reps (at least 8-12 reps per set or higher) on a shoulder, trap, or other upper-body-focused muscle-building day.","Shoulders, Traps",3.5,Bodybuilding,192
2463,Incline barbell shoulder protraction,"The incline barbell shoulder protraction is an upper-body movement that targets strength and mobility in the scapula or shoulder blades. This can help increase pressing strength and prevent injury. It also helps develop the serratus anterior, an often-neglected muscle around the ribcage that can aid in shoulder health and upper-body muscle definition. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 8-12 reps per set or more.","Shoulders, Back",2.5,"Rehabilitation, Strength Training",168
