match_type,value
intersection,abalone
intersection,"adobo, with noodles"
intersection,"adobo, with rice"
intersection,agave liquid sweetener
intersection,alcoholic coffee drink
intersection,alcoholic malt beverage
intersection,"alcoholic malt beverage, sweetened"
intersection,"alfalfa sprouts, raw"
intersection,alfredo sauce
intersection,alfredo sauce with added vegetables
intersection,alfredo sauce with meat
intersection,alfredo sauce with meat and added vegetables
intersection,alfredo sauce with poultry
intersection,alfredo sauce with poultry and added vegetables
intersection,alfredo sauce with seafood
intersection,alfredo sauce with seafood and added vegetables
intersection,almond butter
intersection,"almond butter and jelly sandwich, on wheat bread"
intersection,"almond butter and jelly sandwich, on white bread"
intersection,"almond butter sandwich, on wheat bread"
intersection,"almond butter sandwich, on white bread"
intersection,"almond butter, lower sodium"
intersection,almond chicken
intersection,"almond milk, chocolate"
intersection,"almond milk, nfs"
intersection,"almond milk, sweetened"
intersection,"almond milk, unsweetened"
intersection,almond oil
intersection,almond paste
intersection,"almonds, chocolate covered candy"
intersection,"almonds, flavored"
intersection,"almonds, honey roasted"
intersection,"almonds, lightly salted"
intersection,"almonds, nfs"
intersection,"almonds, salted"
intersection,"almonds, unroasted"
intersection,"almonds, unsalted"
intersection,aloe vera juice drink
intersection,ambrosia
intersection,animal fat or drippings
intersection,anisette toast
intersection,"antipasto with ham, fish, cheese, vegetables"
intersection,apple cider
intersection,"apple juice beverage, 40-50% juice, light"
intersection,"apple juice, 100%"
intersection,"apple juice, 100%, with calcium added"
intersection,apple pie filling
intersection,apple salad with dressing
intersection,"apple, baked"
intersection,"apple, candied"
intersection,"apple, dried"
intersection,"apple, raw"
intersection,"applesauce, flavored"
intersection,"applesauce, regular"
intersection,"applesauce, unsweetened"
intersection,apricot nectar
intersection,"apricot, canned"
intersection,"apricot, dried"
intersection,"apricot, raw"
intersection,arepa dominicana
intersection,armadillo
intersection,artichoke
intersection,artichoke dip
intersection,"artichokes, stuffed"
intersection,"asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing"
intersection,"asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing"
intersection,"asian stir fry vegetables, cooked, fat added"
intersection,"asian stir fry vegetables, cooked, no added fat"
intersection,"asparagus, canned, cooked with butter or margarine"
intersection,"asparagus, canned, cooked with oil"
intersection,"asparagus, canned, cooked, fat added, ns as to fat type"
intersection,"asparagus, canned, cooked, no added fat"
intersection,"asparagus, fresh, cooked with butter or margarine"
intersection,"asparagus, fresh, cooked with oil"
intersection,"asparagus, fresh, cooked, fat added, ns as to fat type"
intersection,"asparagus, fresh, cooked, no added fat"
intersection,"asparagus, frozen, cooked with butter or margarine"
intersection,"asparagus, frozen, cooked with oil"
intersection,"asparagus, frozen, cooked, fat added, ns as to fat type"
intersection,"asparagus, frozen, cooked, no added fat"
intersection,"asparagus, ns as to form, cooked"
intersection,"asparagus, raw"
intersection,atole
intersection,atole de avena
intersection,atole de chocolate
intersection,avocado dressing
intersection,"avocado, for use on a sandwich"
intersection,"avocado, raw"
intersection,"baby toddler apples, stage 1"
intersection,"baby toddler apples, stage 2"
intersection,"baby toddler bananas, stage 1"
intersection,"baby toddler bananas, stage 2"
intersection,baby toddler bar
intersection,baby toddler beef
intersection,baby toddler beets
intersection,baby toddler biscuit
intersection,"baby toddler carrots, stage 1"
intersection,"baby toddler carrots, stage 2"
intersection,"baby toddler cereal, barley, dry"
intersection,"baby toddler cereal, multigrain with fruit, dry"
intersection,"baby toddler cereal, multigrain with fruit, ready-to-eat"
intersection,"baby toddler cereal, multigrain, dry"
intersection,"baby toddler cereal, multigrain, ready-to-eat"
intersection,"baby toddler cereal, nfs"
intersection,"baby toddler cereal, oatmeal with fruit, dry"
intersection,"baby toddler cereal, oatmeal with fruit, ready-to-eat"
intersection,"baby toddler cereal, oatmeal, dry"
intersection,"baby toddler cereal, oatmeal, ready-to-eat"
intersection,"baby toddler cereal, rice with fruit, dry"
intersection,"baby toddler cereal, rice with fruit, ready-to-eat"
