Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
0.183,,0.179,4.4,0.354,,,,656.0,,67.8,,9.0,,,0.5,,0.049,297.0,0.093,0.575,0.198,,,,2.4,,,,263.0,,,,,0.584,0.197,0.106,,10.3,0.183,,0.301,,,0.285,,,,,,,,,240.0,,1.1,0.046,1.6,,,,,,,,,,,,,,0.177,278.0,,1260.0,0.181,4.0,,0.1,,,,,,,,,,,,,,,4.9,0.165,50.0,,,,,,,,0.1,0.158,14.58,1.1,0.051,0.089,0.208,1.0,,0.1,,,4.4,3.2,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Asafoetida,100.0,2.9,10.22,0.002,6.5
,,,5.82,,,,,383.0,,68.5,,,,,0.383,,,311.0,,,,,,,28.0,,20.0,,,,,,,,,,,13.9,,,,,,,,,,,,,,,229.0,,28.0,,1.79,,,,,,,,,,,,,,,183.0,,1119.0,,10.7,,0.182,,,,,,,,,,,,,,,20.7,,18.0,,,,,,,,0.198,,,6.7,,,,,,0.23,21.0,,8.28,7.47,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Black Cardamom,100.0,,,0.002,6.5
0.45,,0.638,4.8,0.963,,,,443.0,,64.81,,191.0,,11.3,1.11,,0.125,251.0,0.992,0.574,1.39,,,,26.5,,,,10.0,,,,,1.839,0.521,0.224,,28.86,0.444,,0.763,205.0,,0.528,,,,,,,,,194.0,,6.8,0.126,1.142,,,,,,,,,,,,,,0.383,173.0,,1329.0,0.428,10.95,,0.183,,,,,,,,,,,,,,,9.3,0.435,20.0,,,,,,,,0.108,0.383,0.64,3.26,0.137,0.177,0.518,16.0,,0.301,6.1,,11.75,1.41,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Black Pepper,100.0,16.3,1.05,0.002,6.5
0.437,,0.619,4.6,0.935,,,,383.0,,68.5,,177.0,,29.8,0.383,,0.123,311.0,0.917,4.095,0.63,,,,28.0,,,,20.0,,,,,1.787,0.505,0.218,,13.97,0.432,,0.742,350.0,,0.526,,,,,,,,,229.0,,28.0,0.124,1.1,,,,,,,,,,,,,,0.371,178.0,,1119.0,0.415,10.7,,0.198,,,,,,,,,,,,,,,20.3,0.422,18.0,,,,,,,,0.198,0.395,,6.7,0.141,0.173,0.509,29.0,,0.23,21.0,,8.28,7.47,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cardamom (Green),100.0,13.8,0.72,0.002,6.5
0.534,,0.732,9.25,1.09,,,,525.0,,55.8,28.0,466.0,,,0.569,,0.125,325.0,5.06,4.09,2.94,,,,33.2,,96.0,96.0,96.0,,,,,1.48,0.486,0.29,,19.1,0.541,,0.887,,,0.573,,,,,,,,,180.0,,4.13,0.158,2.05,,,,,,,,,,,,,0.489,0.573,367.0,,1160.0,0.468,12.6,,0.41,,,,,,,,,,,,,,,13.9,0.518,280.0,,,,,,,,0.165,0.443,5.14,14.0,0.181,0.413,0.692,39.0,,0.457,0.5,,8.35,3.29,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Char Masala,100.0,99.4,2.53,0.002,6.5
0.78,,0.456,5.6,1.341,82.0,2.4,,148.0,3.0,53.99,,667.0,,100.7,0.366,,0.197,318.0,3.597,7.772,3.26,,,,27.2,,106.0,106.0,106.0,,,,,1.898,0.381,0.264,,7.8,0.443,,0.732,2240.0,5037.0,0.499,,,0.043,,3.486,,,,139.0,,1.8,0.198,8.704,7.07,0.702,,,,,,,,,,,2.519,0.48,293.0,95.0,1800.0,0.428,12.01,,0.919,,,,0.054,,2.164,,0.963,0.047,,,,,,13.4,0.569,30.0,,10.0,,,,,,0.32,0.373,10.34,17.26,0.196,0.316,0.536,67.0,,2.793,76.4,,11.14,1.3,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chili Powder/Flakes,100.0,15.0,2.7,0.002,5.5
0.015,,0.021,1.51,0.053,5.0,,,67.0,1.0,3.67,13.0,393.0,,13.6,0.076,30.0,0.005,23.0,0.021,0.05,0.018,,,,2.8,,62.0,62.0,62.0,,,,,0.051,0.017,0.008,,1.77,0.019,,0.028,802.0,,0.026,,,,,0.021,,,,26.0,,0.333,0.007,1.114,0.03,0.02,,,,,,,,,,,0.091,0.02,48.0,6.0,521.0,0.018,2.13,,0.162,,,,,,0.012,,0.006,,,,,,,0.9,0.018,46.0,,,,,,,,0.067,0.019,0.87,0.52,0.007,0.014,0.021,337.0,,0.149,27.0,,92.21,0.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cilantro (Fresh Coriander),100.0,310.0,2.5,,6.5
0.84,,0.98,5.1,2.44,88.0,1.3,,709.0,18.0,54.99,,8.0,,41.6,0.286,,0.27,298.0,11.12,1.066,1.16,,,,41.9,,66.0,66.0,66.0,,,,,4.21,0.7,0.33,,16.32,0.64,,1.13,,,0.65,,,0.03,,10.87,0.19,,,336.0,,1.9,0.21,3.17,0.85,0.21,,,,,,,,,,,0.27,0.75,377.0,128.0,1267.0,0.61,12.37,,0.15,,,,,,0.88,,0.28,,,,,,,3.3,0.68,35.0,,22.0,0.87,,,,,0.17,0.58,0.87,17.77,0.18,0.33,0.74,1.0,,0.143,21.0,,8.85,4.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Coriander (seed),100.0,34.3,3.33,0.002,6.2
0.686,,0.893,5.62,1.666,82.0,0.1,,931.0,18.0,44.28,,64.0,,25.3,0.867,,0.158,375.0,18.572,6.83,1.535,,,,10.5,,10.0,10.0,10.0,,,,,2.812,0.579,0.384,,66.36,0.647,,1.065,,,0.645,,,0.034,,18.338,0.169,,,366.0,,3.333,0.224,4.579,6.721,0.076,,,,,,,,,,,0.324,0.771,499.0,100.0,1788.0,0.505,17.81,,0.327,,,,,,1.378,,0.151,,,,,,,5.0,0.741,168.0,7.6,,0.3,,,,,0.628,0.564,2.25,22.27,0.22,0.41,0.852,13.0,,0.435,7.7,,8.06,4.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cumin,100.0,5.4,3.33,0.002,6.0
,,,,,,,,1510.0,,43.9,,5440.0,,,,,,323.0,,,,,,,24.7,,,,,,,,,,,,,33.5,,,,,,,,,,,,,,,380.0,,,,1.6,,,,,,,,,,,,,,,550.0,,1460.0,,22.9,,0.36,,,,,,,,,,,,,,,,,95.0,,,,,,,,0.22,,6.0,6.4,,,,453.0,,0.33,3.0,,11.7,2.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Fenugreek Leaves (Dried),100.0,770.6,3.89,,6.3
