id,name
5552,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size"
5562,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY"
5564,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink"
5632,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO"
5633,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE"
5634,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST"
5635,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS"
5636,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana"
5638,"Lemon juice from concentrate, bottled, CONCORD"
5639,"Lemon juice from concentrate, bottled, REAL LEMON"
5640,"Cranberry sauce, whole, canned, OCEAN SPRAY"
5641,"Cranberry sauce, jellied, canned, OCEAN SPRAY"
5642,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C"
5746,"HORMEL, Cure 81 Ham"
5747,"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored"
5748,"HORMEL Canadian Style Bacon"
5774,"Pan Dulce, La Ricura, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour"
5938,"Candies, MARS SNACKFOOD US, TWIX chocolate fudge cookie bars"
6648,"Frozen novelties, ice type, italian, restaurant-prepared"
6812,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)"
6813,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)"
6869,"Restaurant, Italian, spaghetti with pomodoro sauce (no meat)"
7415,"Candies, HERSHEY'S POT OF GOLD Almond Bar"
7418,"Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies"
7419,"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies"
7420,"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits"
7423,"Candies, NESTLE, RAISINETS Chocolate Covered Raisins"
7425,"Candies, MARS SNACKFOOD US, SNICKERS Bar"
7426,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits"
7427,"Candies, MARS SNACKFOOD US, M&M's MINIs Milk Chocolate Candies"
7428,"Candies, SPECIAL DARK Chocolate Bar"
7459,"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES"
7460,"Candies, REESE'S BITES"
7461,"Candies, REESE'S NUTRAGEOUS Candy Bar"
7463,"Candies, HERSHEY'S, ALMOND JOY BITES"
7464,"Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate"
7465,"Candies, HERSHEY, KIT KAT BIG KAT Bar"
7466,"Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats"
7503,"Candies, MARS SNACKFOOD US, SKITTLES Tropical Bite Size Candies"
8143,"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato"
8146,"SUBWAY, steak & cheese sub on white bread with American cheese, lettuce and tomato"
8148,"SUBWAY, B.L.T. sub on white bread with bacon, lettuce and tomato"
8150,"SUBWAY, oven roasted chicken sub on white bread with lettuce and tomato"
8151,"SUBWAY, cold cut sub on white bread with lettuce and tomato"
