Food Item,Food Group,Macronutrient Focus,Is Vitamin-Rich,Is Mineral-Rich,Is Vegan,Is Vegetarian,Is Gluten-Free,Is Dairy-Free,Is Nut-Free (General),Is Halal,Is Kosher,Processing Level,Culinary Usage,Health Impact,Contains Gluten,Contains Milk,Contains Eggs,Contains Fish,Contains Shellfish,Contains Peanuts,Contains Tree Nuts,Contains Soybeans,Contains Sesame,Contains Mustard,Contains Celery,Contains Sulphites
Kimchi,Vegetables; Spices; Condiments; Proteins,Carbohydrate-rich; Probiotic,Y,Y,Y,Y,N,Y,Y,Variable,N,Processed,Condiment; Side Dish,Healthy,N,N,N,Y,Y,N,N,N,N,N,N,N
Michelada,Beverages; Vegetables; Fruits; Condiments; Spices,Carbohydrate-rich; Alcohol,Y,Y,Y,Y,N,Y,Y,Y,N,Highly Processed,Cocktail,Moderate,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y
Seafood dip,Condiments; Proteins; Oils and fats,Fat-rich; Protein-rich,Y,Y,N,N,Variable,Variable,Y,Y,N,Highly Processed,Dip,Moderate,N,Variable,Variable,Y,Y,N,N,Variable,N,N,N,N
Alfredo sauce with seafood,Dairy; Oils and fats; Proteins,Fat-rich; Protein-rich,N,Y,N,N,Y,N,Y,Y,N,Processed,Sauce; Meal Component,Unhealthy,N,Y,N,Y,Y,N,N,N,N,N,N,N
Alfredo sauce with seafood and added vegetables,Dairy; Oils and fats; Proteins; Vegetables,Fat-rich; Protein-rich,Y,Y,N,N,Y,N,Y,Y,N,Processed,Sauce; Meal Component,Moderate,N,Y,N,Y,Y,N,N,N,N,N,Variable,N
Octopus,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Calamari, cooked",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Calamari, fried",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer; Meal Component,Unhealthy,Y,N,Variable,N,Y,N,N,N,N,N,N,N
"Shellfish, NFS",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
Abalone,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Clams, raw",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Appetizer; Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Clams, NFS",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Clams, baked or broiled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component; Appetizer,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Clams, fried",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer; Meal Component,Unhealthy,Y,N,Variable,N,Y,N,N,N,N,N,N,N
"Clams, steamed or boiled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component; Appetizer,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Clams, canned",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,Variable
Crab,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Crab, canned",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,Variable
"Crab, soft shell",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Crayfish, fried",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Meal Component,Unhealthy,Y,N,Variable,N,Y,N,N,N,N,N,N,N
"Crayfish, cooked",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
Lobster,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
Mussels,Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Oysters, raw",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Appetizer,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Oysters, baked or broiled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Appetizer; Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Oysters, steamed",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Appetizer; Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Oysters, fried",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer; Meal Component,Unhealthy,Y,N,Variable,N,Y,N,N,N,N,N,N,N
"Oysters, canned",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,Variable
"Scallops, baked or broiled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Scallops, grilled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Scallops, steamed or boiled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Scallops, fried",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer; Meal Component,Unhealthy,Y,N,Variable,N,Y,N,N,N,N,N,N,N
"Shrimp, NFS",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component; Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Shrimp, baked or broiled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Shrimp, grilled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Shrimp, steamed or boiled",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Shrimp, fried",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer; Meal Component,Unhealthy,Y,N,Variable,N,Y,N,N,N,N,N,N,N
"Shrimp, baked or broiled, coated",Proteins; Grains,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal Component,Moderate,Y,N,Variable,N,Y,N,N,N,N,N,N,N
"Shrimp, dried",Proteins,Protein-rich,N,Y,N,N,Y,Y,Y,Y,N,Processed,Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,Variable
"Shrimp, canned",Proteins,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Ingredient,Healthy,N,N,N,N,Y,N,N,N,N,N,N,Variable
Escargot,Proteins; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Y,N,Processed,Appetizer,Moderate,N,Y,N,N,Y,N,N,N,N,N,N,N
Shrimp cocktail,Proteins; Condiments; Vegetables,Protein-rich; Carbohydrate-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Appetizer,Healthy,N,N,N,N,Y,N,N,N,N,N,Variable,N
Seafood thermidor,Proteins; Dairy; Beverages; Grains,Protein-rich; Fat-rich,Y,Y,N,N,N,N,N,Y,N,Processed,Meal,Unhealthy,Y,Y,N,Y,Y,N,N,N,N,N,N,Y
Spaghetti sauce with seafood,Proteins; Vegetables,Protein-rich; Carbohydrate-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Sauce; Meal Component,Healthy,N,N,N,Y,Y,N,N,Variable,N,N,Variable,Variable
Spaghetti sauce with seafood and added vegetables,Proteins; Vegetables,Protein-rich; Carbohydrate-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Sauce; Meal Component,Healthy,N,N,N,Y,Y,N,N,Variable,N,N,Variable,Variable
Shrimp with lobster sauce,Proteins; Condiments,Protein-rich,N,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Moderate,Variable,N,Variable,N,Y,N,N,Y,N,N,N,N
Sweet and sour shrimp,Proteins; Vegetables; Condiments,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Moderate,Variable,N,N,N,Y,N,N,Variable,N,N,N,Variable
Shrimp scampi,Proteins; Oils and fats; Dairy,Protein-rich; Fat-rich,N,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Moderate,N,Y,N,N,Y,N,N,N,N,N,N,Variable
Shrimp teriyaki,Proteins; Condiments,Protein-rich; Carbohydrate-rich,N,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Moderate,Variable,N,N,N,Y,N,N,Y,Variable,N,N,Variable
Ceviche,Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Appetizer; Meal,Healthy,N,N,N,Y,Y,N,N,N,N,N,Variable,N
"Crabs in tomato-based sauce, Puerto Rican style",Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Meal,Healthy,N,N,N,N,Y,N,N,N,N,N,Variable,N
"Shrimp in garlic sauce, Puerto Rican style",Proteins; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,Y,Y,Y,Y,N,Processed,Meal Component,Moderate,N,Variable,N,N,Y,N,N,N,N,N,N,N
"Crab, cake",Proteins; Grains; Oils and fats,Protein-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer; Meal Component,Moderate,Y,Variable,Y,N,Y,N,N,Variable,N,Variable,Variable,N
"Shrimp and noodles, no sauce",Proteins; Grains,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Healthy,Y,N,Y,N,Y,N,N,N,N,N,N,N
Shrimp and noodles with gravy,Composite Meal; Proteins; Grains; Condiments,Balanced,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal,Moderate,Y,N,Y,N,Y,N,N,Variable,N,N,N,Variable
Shrimp and noodles with mushroom sauce,Composite Meal; Proteins; Grains; Vegetables; Condiments,Balanced,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal,Healthy,Y,Variable,Y,N,Y,N,N,Variable,N,N,N,Variable
Shrimp and noodles with cream or white sauce,Composite Meal; Proteins; Grains; Dairy,Balanced,Y,Y,N,N,N,N,N,Y,N,Processed,Meal,Moderate,Y,Y,Y,N,Y,N,N,N,N,N,N,N
Shrimp and noodles with soy-based sauce,Composite Meal; Proteins; Grains; Condiments,Balanced,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal,Healthy,Y,N,Y,N,Y,N,N,Y,Variable,N,N,Variable
Shrimp and noodles with cheese sauce,Composite Meal; Proteins; Grains; Dairy,Balanced,Y,Y,N,N,N,N,N,Y,N,Processed,Meal,Moderate,Y,Y,Y,N,Y,N,N,N,N,N,N,N
Shrimp and noodles with tomato sauce,Composite Meal; Proteins; Grains; Vegetables,Balanced,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal,Healthy,Y,N,Y,N,Y,N,N,N,N,N,Variable,Variable
Clam cake or patty,Proteins; Grains; Oils and fats,Protein-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer; Meal Component,Moderate,Y,N,Variable,N,Y,N,N,N,N,N,N,N
Flounder with crab stuffing,Proteins; Grains; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,N,N,Y,Y,N,Processed,Meal Component,Moderate,Y,Variable,Variable,Y,Y,N,N,N,N,N,N,N
"Lobster with bread stuffing, baked",Proteins; Grains; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,N,N,Y,Y,N,Processed,Meal Component,Moderate,Y,Variable,Variable,N,Y,N,N,N,N,N,N,N
Clams Casino,Proteins; Grains; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,N,N,Y,Y,N,Processed,Appetizer,Unhealthy,Y,Variable,N,N,Y,N,N,N,N,N,N,N
"Shrimp, cake or patty",Proteins; Grains; Oils and fats,Protein-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Meal Component; Snack,Moderate,Y,N,Variable,N,Y,N,N,N,N,N,N,N
Shrimp with crab stuffing,Proteins; Grains; Oils and fats,Protein-rich; Fat-rich,N,Y,N,N,N,N,Y,Y,N,Processed,Meal Component,Moderate,Y,Variable,Variable,N,Y,N,N,N,N,N,N,N
Shrimp toast,Proteins; Grains; Oils and fats,Protein-rich; Fat-rich; Carbohydrate-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Appetizer,Unhealthy,Y,N,N,N,Y,N,N,N,Y,N,N,N
Seafood souffle,Proteins; Dairy; Grains,Protein-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal Component,Moderate,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
Shellfish and noodles with tomato-based sauce,Composite Meal; Proteins; Grains; Vegetables,Balanced,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal,Healthy,Y,N,Y,N,Y,N,N,N,N,N,Variable,Variable
Paella with seafood,Composite Meal; Proteins; Grains; Vegetables,Balanced,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal,Healthy,N,N,N,Y,Y,N,N,N,N,N,Variable,Variable
Shrimp chow mein or chop suey with noodles,Composite Meal,Balanced,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal,Healthy,Y,N,Y,N,Y,N,N,Y,Variable,N,Variable,Variable
"Shrimp creole, with rice",Composite Meal; Proteins; Grains; Vegetables,Balanced,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal,Healthy,N,N,N,N,Y,N,N,N,N,N,Y,N
