fdc_id,name,food_category_id,allergens,diets,min_age_months,max_age_months
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,"Cereals containing gluten,Milk",Vegetarian,24,
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,"Cereals containing gluten,Milk",Vegetarian,24,
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,"Cereals containing gluten,Soybeans",,24,
167515,"George Weston Bakeries, Thomas English Muffins",18,Cereals containing gluten,"Vegan,Vegetarian",24,
167516,"Waffles, buttermilk, frozen, ready-to-heat",18,"Cereals containing gluten,Eggs,Milk",Vegetarian,24,
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,"Cereals containing gluten,Eggs,Milk",Vegetarian,24,
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,"Cereals containing gluten,Eggs,Milk",Vegetarian,24,
167519,"Waffle, plain, frozen, ready-to-heat, microwave",18,"Cereals containing gluten,Eggs,Milk,Soybeans",Vegetarian,24,
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,"Cereals containing gluten,Soybeans","Vegan,Vegetarian",24,
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,"Cereals containing gluten,Milk,Soybeans",Vegetarian,24,
167522,"Pie, Dutch Apple, Commercially Prepared",18,"Cereals containing gluten,Milk","Vegetarian,Vitamin-Rich",24,
167524,"Waffles, chocolate chip, frozen, ready-to-heat",18,"Cereals containing gluten,Eggs,Milk,Soybeans",Vegetarian,24,
167525,"Tostada shells, corn",18,,"High-Protein,Vegan,Vegetarian",24,
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,"Cereals containing gluten,Eggs,Milk","High-Protein,Vegetarian",24,
167527,"Bread, pound cake type, pan de torta salvadoran",18,"Cereals containing gluten,Eggs,Milk",Vegetarian,24,
167528,"Pastry, Pastelitos de Guava (guava pastries)",18,"Cereals containing gluten,Eggs","Vegetarian,Vitamin-Rich",24,
167529,"Crackers, snack, Goya Crackers",18,"Cereals containing gluten,Soybeans","Vegan,Vegetarian",24,
167530,"Crackers, cream, Gamesa Sabrosas",18,"Cereals containing gluten,Milk,Soybeans",Vegetarian,24,
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",18,"Cereals containing gluten,Milk,Soybeans",Vegetarian,24,
167532,"Bread, white wheat",18,Cereals containing gluten,"Vegan,Vegetarian",24,
167533,"Bagels, wheat",18,Cereals containing gluten,"Vegan,Vegetarian",24,
167534,"Cream puff, eclair, custard or cream filled, iced",18,"Cereals containing gluten,Eggs,Milk",Vegetarian,24,
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",18,Cereals containing gluten,"Vegan,Vegetarian",24,
167536,"Snacks, beef jerky, chopped and formed",23,Soybeans,High-Protein,48,
167537,"Snacks, corn-based, extruded, chips, plain",23,,"Vegan,Vegetarian",24,
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",23,Milk,Vegetarian,24,
167539,"Snacks, corn-based, extruded, cones, plain",23,,"Vegan,Vegetarian",24,
167540,"Snacks, fruit leather, pieces",19,,"Vegan,Vegetarian,Vitamin-Rich",24,
167541,"Snacks, fruit leather, rolls",19,,"Vegan,Vegetarian,Vitamin-Rich",24,
167542,"Snacks, granola bars, hard, plain",23,"Cereals containing gluten,Cereals containing gluten (oats)",Vegetarian,24,
167543,"Snacks, granola bars, hard, almond",23,"Cereals containing gluten,Cereals containing gluten (oats),Nuts,Nuts (almonds),Peanuts,Soybeans",Vegetarian,48,
167544,"Snacks, granola bars, soft, uncoated, raisin",23,"Cereals containing gluten,Cereals containing gluten (oats),Peanuts,Soybeans","Vegetarian,Vitamin-Rich",24,
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",23,"Cereals containing gluten,Cereals containing gluten (oats),Milk,Peanuts,Soybeans",Vegetarian,24,
167546,"Candies, honey-combed, with peanut butter",19,"Milk,Peanuts",Vegetarian,48,
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",23,"Cereals containing gluten,Cereals containing gluten (oats),Milk,Peanuts,Soybeans",Vegetarian,48,
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",23,"Cereals containing gluten,Cereals containing gluten (oats),Milk,Peanuts,Soybeans",Vegetarian,48,
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",23,Milk,Vegetarian,48,
167550,"Snacks, popcorn, cakes",23,,"Vegan,Vegetarian",48,
167551,"Snacks, popcorn, caramel-coated, with peanuts",23,"Milk,Peanuts",Vegetarian,48,
167552,"Snacks, popcorn, caramel-coated, without peanuts",23,Milk,Vegetarian,48,
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",23,,"Low-Fat,Vegan,Vegetarian",24,
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",23,Milk,Vegetarian,24,
167555,"Snacks, pretzels, hard, plain, salted",23,Cereals containing gluten,"Vegan,Vegetarian",24,
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",23,"Cereals containing gluten,Milk,Soybeans",Vegetarian,24,
167557,"Snacks, rice cakes, brown rice, sesame seed",23,Sesame seeds,"Vegan,Vegetarian",24,
167558,"Snacks, tortilla chips, plain, white corn, salted",23,,"Vegan,Vegetarian",24,
167559,"Snacks, tortilla chips, nacho cheese",23,Milk,Vegetarian,24,
167560,"Snacks, tortilla chips, ranch-flavor",23,Milk,Vegetarian,24,
167561,"Snacks, trail mix, regular",23,"Milk,Nuts,Peanuts,Soybeans","High-Protein,Vegetarian",48,
167562,"Candies, ALMOND JOY Candy Bar",19,"Milk,Nuts,Nuts (almonds),Nuts (coconut),Soybeans",Vegetarian,48,
167563,"Candies, TWIZZLERS CHERRY BITES",19,Cereals containing gluten,"Vegan,Vegetarian",24,
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",19,"Eggs,Milk,Nuts,Nuts (almonds)",Vegetarian,48,
167565,"Candies, NESTLE, BUTTERFINGER Bar",19,"Milk,Peanuts,Soybeans",Vegetarian,48,
167566,"Candies, caramels, chocolate-flavor roll",19,"Milk,Soybeans",Vegetarian,24,
167567,"Baking chocolate, unsweetened, liquid",19,Soybeans,"No Added Sugar,Vegan,Vegetarian",24,
167568,"Baking chocolate, unsweetened, squares",19,,"No Added Sugar,Vegan,Vegetarian",24,
167569,"Candies, confectioner's coating, yogurt",19,"Milk,Soybeans",Vegetarian,24,
167570,"Candies, confectioner's coating, peanut butter",19,"Milk,Peanuts,Soybeans",Vegetarian,48,
167571,"Candies, white chocolate",19,"Milk,Soybeans",Vegetarian,24,
167572,"Ice creams, vanilla, light",19,Milk,"Low-Fat,Vegetarian",24,
167573,"Ice creams, vanilla, rich",19,"Eggs,Milk",Vegetarian,24,
167574,"Desserts, flan, caramel custard, prepared-from-recipe",19,"Eggs,Milk",Vegetarian,24,
167575,"Ice creams, vanilla",19,Milk,Vegetarian,24,
167576,"Ice creams, vanilla, light, soft-serve",19,Milk,"Low-Fat,Vegetarian",24,
167577,"Sherbet, orange",19,Milk,"Low-Fat,Vegetarian,Vitamin-Rich",24,
167578,"Candies, fudge, peanut butter, prepared-from-recipe",19,"Milk,Peanuts",Vegetarian,48,
167579,"Candies, fudge, vanilla, prepared-from-recipe",19,Milk,Vegetarian,24,
167580,"Candies, fudge, vanilla with nuts",19,"Milk,Nuts",Vegetarian,48,
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",19,"Milk,Peanuts,Soybeans",Vegetarian,48,
167582,"Candies, NESTLE, BABY RUTH Bar",19,"Milk,Peanuts,Soybeans",Vegetarian,48,
167583,"Candies, TWIZZLERS Strawberry Twists Candy",19,Cereals containing gluten,"Vegan,Vegetarian",24,
167584,"Syrups, table blends, pancake, with butter",19,Milk,Vegetarian,24,
167585,"Ice creams, chocolate, light",19,Milk,"Low-Fat,Vegetarian",24,
167586,"Candies, NESTLE, CHUNKY Bar",19,"Milk,Peanuts,Soybeans",Vegetarian,48,
167587,"Candies, milk chocolate",19,"Milk,Soybeans",Vegetarian,24,
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",19,Milk,"Vegetarian,Vitamin-Rich",24,
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",19,Milk,"Vegetarian,Vitamin-Rich",24,
167590,"Andrea's, Gluten Free Soft Dinner Roll",18,"Eggs,Milk","Gluten-Free,Vegetarian",24,
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",18,"Sesame seeds,Soybeans","Gluten-Free,Vegan,Vegetarian",24,
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",18,"Eggs,Milk,Soybeans","Gluten-Free,Vegetarian",24,
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",18,"Eggs,Milk,Soybeans","Gluten-Free,Vegetarian",24,
167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",18,"Cereals containing gluten,Milk",Vegetarian,24,
167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",18,"Cereals containing gluten,Milk",Vegetarian,24,
167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",18,"Cereals containing gluten,Milk",Vegetarian,24,
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",18,Eggs,"Gluten-Free,Vegetarian",24,
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",18,Eggs,"Gluten-Free,Vegetarian",24,
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",18,Eggs,"Gluten-Free,Vegetarian",24,
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",18,Eggs,"Gluten-Free,Vegetarian",24,
167601,"Van's, Gluten Free, Totally Original Pancakes",18,Soybeans,"Gluten-Free,Vegan,Vegetarian",24,
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",11,,"High-Protein,Mineral-Rich,Vegan,Vegetarian,Vitamin-Rich",24,
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",11,,"High-Protein,Mineral-Rich,Vegan,Vegetarian,Vitamin-Rich",24,
167604,"Potatoes, hash brown, refrigerated, unprepared",11,,"Vegan,Vegetarian,Vitamin-Rich",24,
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",11,,"Vegan,Vegetarian,Vitamin-Rich",24,
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",11,,"Vegan,Vegetarian,Vitamin-Rich",24,
167607,"Moose, meat, raw (Alaska Native)",24,,High-Protein,24,
167608,"Mashu roots, raw (Alaska Native)",24,,"Vegan,Vegetarian,Vitamin-Rich",24,
167609,"Moose, liver, braised (Alaska Native)",24,,High-Protein,24,
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",24,,High-Protein,24,
167611,"Oil, bearded seal (Oogruk) (Alaska Native)",24,,High-Protein,24,
167612,"Oopah (tunicate), whole animal (Alaska Native)",24,,Pescatarian,24,
167613,"Owl, horned, flesh, raw (Alaska Native)",24,,High-Protein,24,
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167616,"Fish, salmon, king, chinook, liver (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
