id,Title,Desc,Muscle Group,metValue,sports,Minimal Age (months)
0,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,"Abs, Back, Obliques",4.5,"Circuit Training, Fitness, Strength Training",144
1,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Abs,3.0,"Bodybuilding, Fitness, Strength Training",120
2,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.","Abs, Glutes, Hip Flexors, Full Body",8.5,"Cardio, Circuit Training, Fitness, HIIT",168
3,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Abs,3.5,"Bodybuilding, Fitness, Strength Training",120
4,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.","Abs, Obliques",2.8,"Fitness, Strength Training",96
5,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Abs, Shoulders, Back, Chest",4.5,"Bodybuilding, Strength Training",168
6,FYR2 Banded Frog Pump,"The banded frog pump is a glute exercise that involves lying on your back with the soles of your feet together and a resistance band around your thighs. You then raise your hips off the ground, working against the band's resistance. This exercise is excellent for activating and strengthening the gluteus maximus and medius.","Glutes, Inner Thighs",3.5,"Bodybuilding, Rehabilitation, Strength Training",144
7,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.","Abs, Obliques",3.8,"Fitness, Golf, Strength Training, Tennis",144
8,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Abs, Lats, Shoulders",5.0,"Calisthenics, Strength Training",192
9,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Abs, Lats, Shoulders",4.5,"Bodybuilding, Strength Training",192
10,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Abs, Shoulders, Chest",5.0,"Bodybuilding, Strength Training",192
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.","Abs, Shoulders, Lats, Back",5.5,"Calisthenics, Strength Training",192
12,Barbell Side Bend,"The barbell side bend is a core exercise that targets the obliques. To perform it, you stand with your feet shoulder-width apart, holding a barbell across the back of your shoulders. Then, you bend to one side at the waist, keeping your back straight, and return to the starting position before repeating on the other side.",Obliques,4.0,"Bodybuilding, Strength Training",192
13,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Obliques,2.5,"Mobility, Strength Training",144
14,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.","Full Body, Shoulders, Obliques, Back",7.5,"Athletics, Fitness, Golf, Rotational Sports",192
15,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Abs, Lats, Shoulders",5.0,"Bodybuilding, Strength Training",192
