id,name,min_age_months
1,"Milk, NFS",12
2,"Milk, whole",12
3,"Milk, reduced fat (2%)",12
4,"Milk, low fat (1%)",12
5,"Milk, fat free (skim)",12
6,"Milk, lactose free, low fat (1%)",12
7,"Milk, lactose free, fat free (skim)",12
8,"Milk, lactose free, reduced fat (2%)",12
9,"Milk, lactose free, whole",12
10,Buttermilk,12
11,Kefir,8
12,Goat milk,12
13,"Milk, dry, reconstituted, nonfat",12
14,"Milk, dry, reconstituted, whole",12
15,"Milk, evaporated, NS as to fat content",12
16,"Milk, evaporated, whole",12
17,"Milk, evaporated, reduced fat (2%)",12
18,"Milk, evaporated, fat free (skim)",12
19,"Milk, condensed, sweetened",12
20,"Non-dairy milk, NFS",12
21,"Soy milk, sweetened",12
22,"Soy milk, unsweetened",12
23,"Soy milk, chocolate",12
24,"Almond milk, sweetened",12
25,"Almond milk, chocolate",12
26,"Almond milk, unsweetened",12
27,"Almond milk, NFS",12
28,Rice milk,12
29,Oat milk,12
30,Coconut milk,12
31,"Yogurt, NFS",6
32,"Yogurt, Greek, NS as to type of milk or flavor",6
33,"Yogurt, NS as to type of milk or flavor",6
34,"Yogurt, NS as to type of milk, plain",6
35,"Yogurt, whole milk, plain",6
36,"Yogurt, low fat milk, plain",6
37,"Yogurt, nonfat milk, plain",6
38,"Yogurt, Greek, NS as to type of milk, plain",6
39,"Yogurt, Greek, whole milk, plain",6
40,"Yogurt, Greek, low fat milk, plain",6
41,"Yogurt, Greek, nonfat milk, plain",6
42,"Yogurt, NS as to type of milk, fruit",6
43,"Yogurt, whole milk, fruit",6
44,"Yogurt, low fat milk, fruit",6
45,"Yogurt, nonfat milk, fruit",6
46,"Yogurt, Greek, NS as to type of milk, fruit",6
47,"Yogurt, Greek, whole milk, fruit",6
48,"Yogurt, Greek, low fat milk, fruit",6
49,"Yogurt, Greek, nonfat milk, fruit",6
50,"Yogurt, NS as to type of milk, flavors other than fruit",6
51,"Yogurt, whole milk, flavors other than fruit",6
52,"Yogurt, low fat milk, flavors other than fruit",6
53,"Yogurt, nonfat milk, flavors other than fruit",6
54,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",6
55,"Yogurt, Greek, whole milk, flavors other than fruit",6
56,"Yogurt, Greek, low fat milk, flavors other than fruit",6
57,"Yogurt, Greek, nonfat milk, flavors other than fruit",6
58,"Yogurt, Greek, with oats",6
59,"Yogurt, liquid",6
60,Yogurt tube,6
61,"Chipotle dip, yogurt based",24
62,"Onion dip, yogurt based",6
63,"Ranch dip, yogurt based",6
64,"Spinach dip, yogurt based",6
65,Tzatziki dip,6
66,"Vegetable dip, yogurt based",6
67,"Yogurt parfait, with fruit",6
68,"Frozen yogurt, NFS",6
69,"Frozen yogurt, vanilla",6
70,"Frozen yogurt, chocolate",6
71,"Frozen yogurt, soft serve, vanilla",6
72,"Frozen yogurt, soft serve, chocolate",6
73,Frozen yogurt sandwich,9
74,"Frozen yogurt bar, vanilla",6
75,"Frozen yogurt bar, chocolate",6
76,"Frozen yogurt cone, chocolate",6
77,"Frozen yogurt cone, vanilla",6
78,"Frozen yogurt cone, vanilla, waffle cone",8
79,"Frozen yogurt cone, chocolate, waffle cone",8
80,"Baby Toddler food, NFS",6
81,"Baby Toddler yogurt, plain",6
82,"Baby Toddler yogurt, with fruit",6
83,"Chocolate milk, NFS",12
84,"Chocolate milk, whole",12
85,"Chocolate milk, reduced fat (2%)",12
86,"Chocolate milk, fat free (skim)",12
87,"Chocolate milk, low fat (1%)",12
88,"Chocolate milk, reduced sugar, NFS",12
89,"Hot chocolate / cocoa, NFS",24
90,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",24
91,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",24
92,"Hot chocolate / cocoa, made with non-dairy milk",24
93,"Hot chocolate / cocoa, with whipped cream",24
94,"Chocolate milk, Nesquik, NS as to type of milk",12
95,"Chocolate milk, Nesquik, made with non-dairy milk",12
96,"Chocolate milk, reduced sugar, whole",12
97,"Chocolate milk, reduced sugar, reduced fat (2%)",12
98,"Chocolate milk, reduced sugar, low fat (1%)",12
99,"Chocolate milk, reduced sugar, fat free (skim)",12
100,"Hot chocolate / cocoa, dry mix, made with water",24
101,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",24
102,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",24
103,"Hot chocolate / cocoa, dry mix , made with non-dairy milk",24
104,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",24
105,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",24
106,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",24
107,"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",24
108,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",24
109,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",24
110,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",24
111,"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",24
112,"Strawberry milk, NFS",12
113,"Strawberry milk, whole",12
114,"Strawberry milk, reduced fat (2%)",12
115,"Strawberry milk, low fat (1%)",12
116,"Strawberry milk, fat free  (skim)",12
117,"Strawberry milk, reduced sugar",12
118,"Milk, malted",12
119,Eggnog,60
120,"Milk shake, home recipe, chocolate",24
121,"Milk shake, home recipe, flavors other than chocolate",24
122,"Milk shake, home recipe, chocolate, light",24
123,"Milk shake, home recipe, flavors other than chocolate, light",24
124,Milk shake with malt,24
125,"Milk shake, fast food, chocolate",24
126,"Milk shake, fast food, flavors other than chocolate",24
127,"Milk shake, bottled, chocolate",24
128,"Milk shake, bottled, flavors other than chocolate",24
129,Licuado or Batido,24
130,"Fruit smoothie, NFS",8
131,"Fruit smoothie, with whole fruit and dairy",8
132,"Fruit smoothie, with whole fruit and dairy, added protein",8
133,"Fruit smoothie juice drink, with dairy",8
134,Chocolate milk drink,12
135,"Infant formula, NFS",0
136,"Infant formula, Similac, NFS",0
137,"Infant formula, Similac Alimentum, ready-to-feed",0
138,"Infant formula, Similac Alimentum, powder, made with water",0
139,"Infant formula, Similac Advance, ready-to-feed",0
140,"Infant formula, Similac Advance, powder, made with tap water",0
141,"Infant formula, Similac Advance, powder, made with bottled water",0
142,"Infant formula, Similac Advance, powder, made with baby water",0
143,"Infant formula, Similac Sensitive, ready-to-feed",0
144,"Infant formula, Similac Sensitive, powder, made with tap water",0
145,"Infant formula, Similac Sensitive, powder, made with bottled water",0
146,"Infant formula, Similac Sensitive, powder, made with baby water",0
147,"Infant formula, Similac for Spit-Up, ready-to-feed",0
148,"Infant formula, Similac for Spit-Up, powder, made with water",0
149,"Toddler formula, Similac Go and Grow",12
150,"Infant formula, Enfamil, NFS",0
151,"Infant formula, Enfamil Infant, ready-to-feed",0
152,"Infant formula, Enfamil Infant, powder, made with tap water",0
153,"Infant formula, Enfamil Infant, powder, made with bottled water",0
154,"Infant formula, Enfamil Infant, powder, made with baby water",0
155,"Infant formula, Enfamil AR, ready-to-feed",0
156,"Infant formula, Enfamil AR, powder, made with water",0
157,"Infant formula, Enfamil Gentlease, ready-to-feed",0
158,"Infant formula, Enfamil Gentlease, powder, made with tap water",0
159,"Infant formula, Enfamil Gentlease, powder, made with bottled water",0
160,"Infant formula, Enfamil Gentlease, powder, made with baby water",0
161,"Toddler formula, Enfamil Enfagrow",12
162,"Toddler formula, PediaSure",12
163,"Toddler formula, Nido Kinder",12
164,"Toddler formula, store brand, beginning or next stage",12
165,"Toddler formula, store brand, pediatric shake",12
166,"Infant formula, Gerber, NFS",0
167,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",4
168,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",4
169,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",4
170,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",4
171,"Infant formula, Gerber Good Start Gentle, Stage 2",6
172,"Toddler formula, Gerber Good Start, Stage 3",12
173,"Infant formula, premature, powder, made with water",0
174,"Infant formula, premature, ready-to-feed",0
175,"Infant formula, organic, powder, made with water",0
176,"Infant formula, organic, ready-to-feed",0
177,"Infant formula, store brand, advantage or tender, powder, made with tap water",0
178,"Infant formula, store brand, advantage or tender, powder, made with bottled water",0
179,"Infant formula, store brand, advantage or tender, powder, made with baby water",0
180,"Infant formula, store brand, gentle or sensitivity",0
181,"Infant formula, store brand, added rice",0
182,"Infant formula, Enfamil ProSobee, ready-to-feed",0
183,"Infant formula, Enfamil ProSobee, powder, made with tap water",0
184,"Infant formula, Enfamil ProSobee, powder, made with bottled water",0
185,"Infant formula, Enfamil ProSobee, powder, made with baby water",0
186,"Infant formula, Similac Isomil Soy, ready-to-feed",0
187,"Infant formula, Similac Isomil Soy, powder, made with tap water",0
188,"Infant formula, Similac Isomil Soy, powder, made with bottled water",0
189,"Infant formula, Similac Isomil Soy, powder, made with baby water",0
190,"Infant formula, Similac for Diarrhea",0
191,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",4
192,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",4
193,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",4
194,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",4
195,"Infant formula, store brand, soy",0
196,"Infant formula, Enfamil Nutramigen, ready-to-feed",0
197,"Infant formula, Enfamil Nutramigen, powder, made with water",0
198,"Infant formula, Enfamil Pregestimil, ready-to-feed",0
199,"Infant formula, Enfamil Pregestimil, powder, made with water",0
200,"Infant formula, amino acids",0
201,"Infant formula, low iron",0
202,"Milk, dry, not reconstituted",12
203,"Whey, sweet, dry",8
204,"Cocoa powder, not reconstituted",24
205,"Chocolate beverage powder, dry mix, not reconstituted",24
206,"Chocolate beverage powder, light, dry mix, not reconstituted",24
207,"Milk, malted, dry mix, not reconstituted",12
208,"Strawberry beverage powder, dry mix, not reconstituted",24
209,"Cream, NS as to light, heavy, or half and half",8
210,"Cream, light",8
211,"Cream, half and half",8
212,"Cream, half and half, flavored",8
213,"Cream, half and half, fat free",8
214,"Cream, heavy",8
215,"Cream, whipped",8
216,"Coffee creamer, NFS",192
217,"Coffee creamer, liquid",192
218,"Coffee creamer, liquid, flavored",192
219,"Coffee creamer, liquid, fat free",192
220,"Coffee creamer, liquid, fat free, flavored",192
221,"Coffee creamer, liquid, fat free, sugar free, flavored",192
222,"Coffee creamer, liquid, sugar free, flavored",192
223,"Coffee creamer, powder",192
224,"Coffee creamer, powder, flavored",192
225,"Coffee creamer, powder, fat free",192
226,"Coffee creamer,powder, sugar free, flavored",192
227,"Coffee creamer, soy, liquid",192
228,Whipped topping,8
229,"Whipped topping, fat free",8
230,"Whipped topping, sugar free",8
231,"Sour cream, regular",8
232,"Sour cream, light",8
233,"Sour cream, fat free",8
234,"Sour cream, imitation",8
235,"Dip, NFS",8
236,"Chipotle dip, regular",24
237,"Chipotle dip, light",24
238,"Onion dip, regular",8
239,"Onion dip, light",8
240,"Ranch dip, regular",8
241,"Ranch dip, light",8
242,"Spinach dip, regular",8
243,"Spinach dip, light",8
244,"Vegetable dip, regular",8
245,"Vegetable dip, light",8
246,"Ice cream, NFS",8
247,"Ice cream, vanilla",8
248,"Ice cream, vanilla, with additional ingredients",8
249,"Ice cream, chocolate",8
250,"Ice cream, chocolate, with additional ingredients",8
251,"Ice cream, soft serve, vanilla",8
252,"Ice cream, soft serve, chocolate",8
253,"Gelato, vanilla",8
254,"Gelato, chocolate",8
255,"Ice cream bar, vanilla",8
256,"Ice cream bar, vanilla, chocolate coated",8
257,Ice cream candy bar,24
258,"Ice cream bar, chocolate",8
259,"Ice cream sandwich, vanilla",9
260,"Ice cream sandwich, chocolate",9
261,Ice cream cookie sandwich,12
262,"Ice cream cone, scooped, vanilla",8
263,"Ice cream cone, scooped, vanilla, waffle cone",8
264,"Ice cream cone, NFS",8
265,"Ice cream cone, scooped, chocolate",8
266,"Ice cream cone, scooped, chocolate, waffle cone",8
267,"Ice cream cone, soft serve, vanilla",8
268,"Ice cream cone, soft serve, chocolate",8
269,"Ice cream cone, soft serve, vanilla, waffle cone",8
270,"Ice cream cone, soft serve, chocolate, waffle cone",8
271,"Ice cream cone, vanilla, prepackaged",8
272,"Ice cream cone, chocolate, prepackaged",8
273,"Ice cream soda, flavors other than chocolate",24
274,"Ice cream soda, chocolate",24
275,"Ice cream sundae, NFS",8
276,"Ice cream sundae, fruit topping",8
277,Banana split,8
278,"Ice cream sundae, hot fudge topping",8
279,"Ice cream sundae, caramel topping",8
280,"Ice cream, fried",12
281,"Light ice cream, NFS",8
282,"Light ice cream, vanilla",8
283,"Light ice cream, chocolate",8
284,"Soft serve, blended with candy or cookies, from fast food",24
285,"Light ice cream sandwich, vanilla",9
286,"Light ice cream sandwich, chocolate",9
287,"Light ice cream bar, vanilla",8
288,"Light ice cream bar, vanilla, chocolate coated",8
289,"Light ice cream bar, chocolate",8
290,Creamsicle,24
291,Fudgesicle,24
292,"Light ice cream cone, vanilla, prepackaged",8
293,"Light ice cream cone, chocolate, prepackaged",8
294,"Sherbet, all flavors",8
295,"Fudgesicle, light",24
296,"Pudding, chocolate, NFS",6
297,"Pudding, bread",6
298,"Pudding, flavors other than chocolate, NFS",6
299,Custard,6
300,Flan,6
301,Creme brulee,6
302,"Pudding, rice",6
303,"Firni, Indian pudding",6
304,"Pudding, tapioca, made from dry mix",6
305,"Pudding, flavors other than chocolate, made from dry mix",6
306,"Pudding, chocolate, made from dry mix",6
307,"Pudding, flavors other than chocolate, made from dry mix, sugar free",6
308,"Pudding, chocolate, made from dry mix, sugar free",6
309,"Pudding, flavors other than chocolate, ready-to-eat",6
310,"Pudding, flavors other than chocolate, ready-to-eat, sugar free",6
311,"Pudding, chocolate, ready-to-eat",6
312,"Pudding, chocolate, ready-to-eat, sugar free",6
313,"Pudding, tapioca, ready-to-eat",6
314,Banana pudding,6
315,Mousse,6
316,Dulce de leche,8
317,"Barfi or Burfi, Indian dessert",8
318,Trifle,12
319,Tiramisu,192
320,White sauce or gravy,8
321,"Cheese, NFS",8
322,"Cheese, Blue or Roquefort",8
323,"Cheese, Brick",8
324,"Cheese, Camembert",8
325,"Cheese, Brie",8
326,"Cheese, Cheddar",8
327,"Cheese, Cheddar, reduced fat",8
328,"Cheese, Cheddar, nonfat or fat free",8
329,"Cheese, Colby",8
330,"Cheese, Colby Jack",8
331,"Cheese, Feta",8
332,"Cheese, Fontina",8
333,"Cheese, goat",8
334,"Cheese, Gouda or Edam",8
335,"Cheese, Gruyere",8
336,"Cheese, Limburger",8
337,"Cheese, Monterey",8
338,"Cheese, Monterey, reduced fat",8
339,"Cheese, Mozzarella, NFS",8
340,"Cheese, Mozzarella, part skim",8
341,"Cheese, Mozzarella, reduced sodium",8
342,"Cheese, Mozzarella, nonfat or fat free",8
343,"Cheese, Muenster",8
344,"Cheese, Muenster, reduced fat",8
345,"Cheese, Parmesan, dry grated",12
346,"Cheese, Parmesan, dry grated, reduced fat",12
